start_time,end_time,state
0.0,0.2604166666666667,S1
0.28044871794871795,0.4607371794871795,systole
0.48076923076923084,0.5408653846153847,S2
0.5608974358974359,0.9415064102564104,diastole
0.9615384615384617,1.061698717948718,S1
1.0817307692307694,1.2620192307692308,systole
1.2820512820512822,1.342147435897436,S2
1.3621794871794872,1.762820512820513,diastole
1.7828525641025643,1.8830128205128207,S1
1.903044871794872,2.043269230769231,systole
2.0633012820512824,2.123397435897436,S2
2.1434294871794872,2.443910256410257,diastole
2.463942307692308,2.5641025641025643,S1
2.5841346153846154,2.764423076923077,systole
2.7844551282051286,2.8445512820512824,S2
2.8645833333333335,3.225160256410257,diastole
3.245192307692308,3.3453525641025643,S1
3.365384615384616,3.545673076923077,systole
3.5657051282051286,3.6258012820512824,S2
3.6458333333333335,4.0464743589743595,diastole
4.066506410256411,4.166666666666667,S1
4.186698717948718,4.3269230769230775,systole
4.346955128205129,4.407051282051283,S2
4.427083333333334,4.707532051282052,diastole
4.727564102564103,4.8277243589743595,S1
4.847756410256411,5.028044871794872,systole
5.048076923076923,5.1081730769230775,S2
5.128205128205129,5.468750000000001,diastole
5.488782051282052,5.588942307692308,S1
5.6089743589743595,12.5,systole
